UniqueCarrier,TailNum,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,OnTime
0,2135,165,57,0.5051872665715796,0.5988674195662411,-0.9759187374052375,1.7742297265669265,0.06382946477858675,0.3248203769259134,-0.3936827867986334,0.26587038080690806,-0.29229584779226175,0.1572214805075143,0.0,0.0,1
8,3138,211,120,1.3923007900633966,-0.5338928605242305,1.5266570395828098,0.7817689376676392,-0.5149364380094473,1.6118767819049757,-0.25201003218749624,1.4923516631371183,0.3423680017045466,0.5553707963994685,0.0,0.0,1
3,940,72,136,0.8008917744021853,0.0324872795210053,1.5266570395828098,-0.27077820379548784,-0.40403518717581205,0.3248203769259134,-0.3582645981458491,0.3528548689154336,-0.503850464291198,-0.04185317743846279,0.0,0.0,1
10,3955,46,78,-0.677630764750843,-1.666653140614702,1.5266570395828098,0.7672653353246435,0.8869246858094736,-0.283349133119138,0.3855173635626211,-0.18122988807091325,-0.29229584779226175,0.057684151534525746,0.0,0.0,0
4,576,146,10,0.20948275874097397,0.5988674195662411,1.0261418841852004,-1.6734837446823718,0.6313319592788298,-0.552075195697184,-0.4291009754514177,-0.5082915633589693,0.3423680017045466,-0.44000249333041697,0.0,0.0,1
7,762,184,63,0.5051872665715796,-1.5533771126056548,0.025111573389981386,0.5331357546448533,-0.7358725236545801,-0.18434479427459474,-0.4291009754514177,-0.4856755964507527,-0.29229584779226175,-0.3404651643574284,0.0,0.0,0
11,1723,198,83,1.3923007900633966,1.5050756436386183,0.025111573389981386,1.7845894425262092,-0.07652993080773289,-1.0612403668976922,-0.2874282208402805,-0.8892836212743113,-0.9269596972890701,-0.7386144802493826,0.0,0.0,1
6,233,59,81,1.3923007900633966,-0.7604449165423247,0.5256267287875909,1.1837259168878098,2.172686062661932,-0.35406651800809746,0.13759004299313105,-0.8823248622256292,-0.715405080790134,2.645654704832228,0.0,0.0,0
9,1518,164,57,1.096596282232791,1.1652475596114769,0.5256267287875909,-0.46968475021371653,0.17732996367863535,-0.014623070541092022,-0.4291009754514177,0.14583178721714282,-0.29229584779226175,-0.8381518092223711,0.0,0.0,1
1,468,97,109,-0.9733352725814487,-1.5533771126056548,0.5256267287875909,0.6139415391272588,-1.084171764553966,-1.1178142748088598,-0.2874282208402805,-0.9032011393716753,-1.1385143137880063,-0.44000249333041697,0.0,0.0,1
9,1894,58,221,1.096596282232791,-0.6471688885332776,-0.47540358200762806,-0.21690768080721753,1.4137056272692412,-0.19848827125238663,-0.3228464094930648,-0.16731236997354917,-0.9269596972890701,-0.14139050641145134,0.0,0.0,1
1,485,160,96,-0.08622174908963169,1.0519715316024296,-1.4764338928028469,0.1373946050002524,-1.0469158756020416,-1.2733925215645705,-0.2874282208402805,-1.1050051517834547,-0.715405080790134,-0.9376891381953597,0.0,0.0,0
8,1180,211,58,-0.08622174908963169,-1.1002730005694663,-0.47540358200762806,1.8281002495551968,-0.7540672601194733,-0.43892737987484887,-0.4291009754514177,-0.3204050690445541,-0.503850464291198,-0.24092783538443988,0.0,0.0,1
6,350,59,99,-0.08622174908963169,-1.1002730005694663,-0.47540358200762806,1.2003014624226622,2.1172354372451148,-0.46721433383043265,-0.18117365488192763,-0.4769771476399001,-0.715405080790134,0.7544454543454455,0.0,0.0,1
4,1282,164,205,-1.5647442882426599,0.5988674195662411,1.5266570395828098,0.9558121657835894,0.1184136741732666,-0.38235347196368125,-0.464519164104202,-0.3082272407093606,0.977031851201355,-0.7386144802493826,0.0,0.0,1
11,3936,100,97,1.6880052978940023,1.391799615629571,0.5256267287875909,1.4323590999105957,-1.0824389325096904,-1.0895273208532759,-0.2874282208402805,-0.7988197536414446,-0.503850464291198,-1.1367637961413368,0.0,0.0,1
11,3610,25,15,0.20948275874097397,0.9386955035933825,-0.9759187374052375,0.9868913136614377,-0.3702449623124388,0.18338560714799448,-0.2874282208402805,0.20324154936876968,-0.715405080790134,-0.24092783538443988,0.0,0.0,1
7,4513,44,63,-0.677630764750843,1.391799615629571,1.0261418841852004,0.6325890278539678,0.4771099073383057,-0.9480925510753571,-0.4999373527569863,-1.1137036005943073,1.188586467700291,-0.24092783538443988,0.0,0.0,1
4,2575,26,205,-0.9733352725814487,1.6183516716476654,0.5256267287875909,1.4012799520327475,-0.7852582369164333,-0.9198055971197733,-0.11033727757635903,-0.772724407208887,-0.29229584779226175,-0.44000249333041697,0.0,0.0,0
11,3791,172,178,-0.9733352725814487,-0.4206168325151833,-1.4764338928028469,0.543495470604136,0.6001409824818699,2.1776158610166516,0.27926279760426825,2.6822994604617483,-0.715405080790134,0.057684151534525746,0.0,0.0,0
6,184,59,85,0.8008917744021853,-0.873720944551372,1.0261418841852004,-0.5111236140508475,2.215140447746683,-1.0188099359643166,0.17300823164591533,-1.035417561296634,-0.715405080790134,0.1572214805075143,0.0,0.0,0
4,3,113,10,-0.38192625692023735,-1.666653140614702,-0.9759187374052375,-1.0311813552068414,0.8444703007247225,-0.7642273503640624,-0.4291009754514177,-0.8092578922144678,0.7654772347024189,-0.24092783538443988,0.0,0.0,0
1,484,97,159,-1.2690397804120543,1.278523587620524,-0.9759187374052375,1.187869803271523,-0.9420795369233707,-1.2733925215645705,-0.3936827867986334,-1.1050051517834547,-0.08074123129332564,-0.9376891381953597,0.0,0.0,1
10,2198,171,136,1.3923007900633966,1.5050756436386183,0.025111573389981386,0.9371646770568804,-0.8493730225546287,0.29653342297032964,0.6334446841321111,0.21889875722830426,-0.715405080790134,-0.24092783538443988,0.0,0.0,0
11,2997,203,163,-0.9733352725814487,1.0519715316024296,1.5266570395828098,-0.6188646600273882,-0.890960991617242,-0.7925143043196462,-0.2874282208402805,-0.6996574371977256,-0.503850464291198,-0.5395398223034055,0.0,0.0,1
11,3017,12,171,-0.677630764750843,-0.7604449165423247,-1.4764338928028469,0.8418552902314792,-1.0157248988050815,0.3531073308814972,0.4209355522154054,0.2380353446121799,-0.715405080790134,-0.8381518092223711,0.0,0.0,0
0,2010,16,143,-0.9733352725814487,0.37231536354814676,-1.4764338928028469,-1.5056563461419912,-0.29833243247500346,0.8622725020820055,-0.2874282208402805,0.7982154480310845,0.13081338520561048,-0.5395398223034055,0.0,0.0,1
10,1939,7,45,0.8008917744021853,0.25903933553909964,-0.9759187374052375,-1.1327065716078124,-0.6345018490644604,-0.0711969784522596,-0.5707737300625549,-0.1551345416383556,-0.29229584779226175,0.057684151534525746,0.0,0.0,1
6,326,200,58,-1.5647442882426599,-0.30734080450613616,1.0261418841852004,-0.5049077844752778,2.0834452123817413,-0.6510795345417273,-0.464519164104202,-0.6457270545704397,-0.08074123129332564,-0.7386144802493826,0.0,0.0,1
8,4288,211,202,0.8008917744021853,0.48559139155719394,0.025111573389981386,-1.05604467350912,-1.0053279065394283,1.9088897984386055,-0.18117365488192763,1.7063335038840912,-0.503850464291198,1.0530574412644111,0.0,0.0,0
10,3571,38,45,-0.38192625692023735,-1.4401010845966078,0.025111573389981386,-1.2383756743924963,-0.10165599544972838,-1.1885316596978193,-0.4291009754514177,-1.1258814289295007,-0.503850464291198,-0.8381518092223711,0.0,0.0,1
4,363,172,113,-0.677630764750843,-1.2135490285785133,0.025111573389981386,-1.074692162235829,-0.7150785391232735,1.965463706349773,-0.464519164104202,2.4665779299526047,1.4001410841992272,-0.3404651643574284,0.0,0.0,1
4,557,180,10,1.3923007900633966,-0.194064776497089,-0.47540358200762806,-0.02628890715641499,-0.8008537253149133,0.6218333934595432,-0.6061919187153393,0.5076872577486091,1.6116957006981634,-0.24092783538443988,0.0,0.0,1
0,646,27,143,1.096596282232791,-0.9869969725604191,1.5266570395828098,1.2375964398760801,0.04476831229155569,1.0602811797710918,2.581445060035248,0.9095555928099972,-0.715405080790134,1.0530574412644111,0.0,0.0,0
3,3933,169,71,-1.2690397804120543,0.8254194755843354,0.5256267287875909,1.4489346454454481,-0.1969617578848837,0.508685577637208,-0.3582645981458491,0.5024681884620976,0.5539226182034828,0.3562961384534914,0.0,0.0,1
11,3786,172,189,0.8008917744021853,1.391799615629571,0.5256267287875909,-0.5049077844752778,-0.7228762833225135,-0.7076534424528949,-0.11033727757635903,-0.7501084403006704,-0.29229584779226175,-0.5395398223034055,0.0,0.0,0
10,3383,46,210,0.20948275874097397,1.6183516716476654,-1.4764338928028469,0.38602778802303833,-0.8701670070859353,-0.0570535014744677,-0.464519164104202,-0.2786525147524619,-0.503850464291198,1.3516694281833768,0.0,0.0,1
0,4547,49,120,-0.9733352725814487,-0.194064776497089,-0.47540358200762806,-1.4704333118804298,-0.5773183916033672,0.26824646901474586,-0.4999373527569863,0.17018744388752996,0.5539226182034828,0.057684151534525746,0.0,0.0,1
9,2529,58,71,-1.5647442882426599,-1.5533771126056548,-0.9759187374052375,0.5642149025227016,-0.7705291645400911,1.3431507193269299,0.9876265706599541,1.5132279402831645,1.188586467700291,-0.44000249333041697,0.0,0.0,0
10,3652,57,26,-0.677630764750843,-1.2135490285785133,0.025111573389981386,-1.29017425418891,4.407172983755255,-0.552075195697184,-0.4291009754514177,-0.5848379128944718,0.3423680017045466,-0.04185317743846279,0.0,0.0,1
4,4212,52,190,0.8008917744021853,0.14576330753005245,-1.4764338928028469,0.5559271297552754,-0.2220878225268792,0.26824646901474586,-0.3936827867986334,0.5024681884620976,-0.715405080790134,-0.7386144802493826,0.0,0.0,1
